"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","observed.variant.required","observed.variant.requirement.met"
"lamellipodium morphogenesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of neuron migration","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of glucose metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"monosaccharide biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to acid chemical","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of carbohydrate metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of nervous system development","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of circadian rhythm","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"trabecula morphogenesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"pigment accumulation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular pigment accumulation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of pinocytosis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ligase activity","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"smoothened signaling pathway involved in dorsal/ventral neural tube patterning","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"glycosyl compound metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"substantia nigra development","C1_05_24",1,0,3.7e-24,1,0.1033,11,FALSE
"negative regulation of GTPase activity","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"axon extension","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of epithelial to mesenchymal transition","C1_05_24",1,0,3.7e-24,1,0.2685,11,FALSE
"one-carbon metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"NADPH regeneration","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to dsRNA","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"neuron projection organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"postsynapse organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ketone biosynthetic process","C1_05_24",1,0,3.7e-24,1,0.075,11,FALSE
"mitochondrion distribution","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of autophagosome maturation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"magnesium ion transmembrane transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell division","C1_05_24",1,0,3.7e-24,1,0.3941,11,FALSE
"intermembrane lipid transfer","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"organophosphate ester transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"movement in host","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"extracellular matrix assembly","C1_05_24",1,0,3.7e-24,1,0.2327,11,FALSE
"cellular metabolic compound salvage","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ATP-dependent activity","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell migration involved in heart development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to fluid shear stress","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"sphingomyelin biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"ether lipid biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"embryonic body morphogenesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"amino sugar biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"glycerol ether biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"pigmentation","C1_05_24",1,0,3.7e-24,1,0.2966,11,FALSE
"cellular response to ketone","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"nonribosomal peptide biosynthetic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"glial cell apoptotic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"lipoprotein catabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"suppression of viral release by host","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"chaperone-mediated autophagy","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of steroid hormone biosynthetic process","C1_05_24",1,0,3.7e-24,1,0.0775,11,FALSE
"synaptic vesicle lumen acidification","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"semaphorin-plexin signaling pathway involved in neuron projection guidance","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of Golgi organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"Schwann cell differentiation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"neurotrophin signaling pathway","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of microtubule depolymerization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"basement membrane organization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment or maintenance of epithelial cell apical/basal polarity","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"face development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"osteoblast differentiation","C1_05_24",2,1,3.7e-24,0.584962500721156,0.635,22,FALSE
"appendage development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"limb development","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ATP metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"developmental growth involved in morphogenesis","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6317,22,FALSE
"embryonic organ development","C1_05_24",1,1,3.7e-24,0,1,747,FALSE
"negative regulation of growth","C1_05_24",0,1,3.7e-24,-1,0.476,11,FALSE
"microtubule depolymerization","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"heme metabolic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of neuron apoptotic process","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"plasma membrane tubulation","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"exosomal secretion","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"vasculogenesis","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"toxin transport","C1_05_24",0,0,3.7e-24,0,1,747,FALSE
"ncRNA processing","C2_05_24",2,0,3.7e-24,1.58496250072116,0.1498,8,FALSE
"ribosome biogenesis","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"rRNA metabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"proteasome-mediated ubiquitin-dependent protein catabolic process","C2_05_24",0,1,3.7e-24,-1,0.5015,11,FALSE
"regulation of response to DNA damage stimulus","C2_05_24",1,0,3.7e-24,1,0.4738,11,FALSE
"establishment of protein localization to organelle","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"macroautophagy","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of chromosome organization","C2_05_24",1,0,3.7e-24,1,0.3866,11,FALSE
"Golgi vesicle transport","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"double-strand break repair","C2_05_24",1,0,3.7e-24,1,0.403,11,FALSE
"histone modification","C2_05_24",0,1,3.7e-24,-1,0.4568,11,FALSE
"sister chromatid segregation","C2_05_24",1,0,3.7e-24,1,0.3889,11,FALSE
"DNA replication","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"chromosome segregation","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"mitochondrial gene expression","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"nucleocytoplasmic transport","C2_05_24",1,0,3.7e-24,1,0.4556,11,FALSE
"nuclear transport","C2_05_24",1,0,3.7e-24,1,0.4556,11,FALSE
"regulation of DNA repair","C2_05_24",1,0,3.7e-24,1,0.3506,11,FALSE
"peptidyl-lysine modification","C2_05_24",0,1,3.7e-24,-1,0.5205,11,FALSE
"protein targeting","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cytoplasmic translation","C2_05_24",1,0,3.7e-24,1,0.2239,11,FALSE
"regulation of autophagy","C2_05_24",0,1,3.7e-24,-1,0.5257,11,FALSE
"signal transduction in response to DNA damage","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of intracellular transport","C2_05_24",1,0,3.7e-24,1,0.4779,11,FALSE
"protein localization to nucleus","C2_05_24",1,0,3.7e-24,1,0.4417,11,FALSE
"microtubule cytoskeleton organization involved in mitosis","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"telomere maintenance","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell cycle checkpoint signaling","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein modification by small protein conjugation or removal","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular respiration","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular component disassembly","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"nuclear chromosome segregation","C2_05_24",1,0,3.7e-24,1,0.4386,11,FALSE
"regulation of protein stability","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell cycle phase transition","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"regulation of protein catabolic process","C2_05_24",0,1,3.7e-24,-1,0.53,11,FALSE
"response to endoplasmic reticulum stress","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"vesicle organization","C2_05_24",1,0,3.7e-24,1,0.4967,11,FALSE
"mitochondrial respiratory chain complex assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"DNA-templated transcription elongation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transport","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of organelle localization","C2_05_24",0,1,3.7e-24,-1,0.4994,11,FALSE
"regulation of intracellular protein transport","C2_05_24",1,0,3.7e-24,1,0.3608,11,FALSE
"response to UV","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"RNA localization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to topologically incorrect protein","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle fission","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"non-membrane-bounded organelle assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein polyubiquitination","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"methylation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"phospholipid biosynthetic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"oxidative phosphorylation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of protein localization to membrane","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"in utero embryonic development","C2_05_24",0,1,3.7e-24,-1,0.4726,11,FALSE
"vacuole organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"nuclear-transcribed mRNA catabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein folding","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"DNA conformation change","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of chromosome segregation","C2_05_24",1,0,3.7e-24,1,0.2253,11,FALSE
"regulation of apoptotic signaling pathway","C2_05_24",4,1,3.7e-24,1.32192809488736,0.0091,8,FALSE
"cell cycle G2/M phase transition","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"vacuolar transport","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to ionizing radiation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to UV","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of binding","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"nucleic acid transport","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"RNA transport","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribonucleoprotein complex subunit organization","C2_05_24",1,0,3.7e-24,1,0.2688,11,FALSE
"regulation of DNA replication","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribose phosphate metabolic process","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"proton motive force-driven ATP synthesis","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribonucleotide metabolic process","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"telomere organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to topologically incorrect protein","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"Golgi organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"ribonucleoprotein complex assembly","C2_05_24",1,0,3.7e-24,1,0.2603,11,FALSE
"cellular nitrogen compound catabolic process","C2_05_24",0,1,3.7e-24,-1,0.4875,11,FALSE
"negative regulation of phosphorus metabolic process","C2_05_24",3,1,3.7e-24,1,0.4421,11,FALSE
"heterocycle catabolic process","C2_05_24",0,1,3.7e-24,-1,0.485,11,FALSE
"mitochondrial membrane organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein-containing complex assembly","C2_05_24",0,1,3.7e-24,-1,0.4798,11,FALSE
"positive regulation of cellular component biogenesis","C2_05_24",0,1,3.7e-24,-1,0.4223,11,FALSE
"response to oxidative stress","C2_05_24",0,1,3.7e-24,-1,0.4723,11,FALSE
"regulation of supramolecular fiber organization","C2_05_24",0,1,3.7e-24,-1,0.4602,11,FALSE
"positive regulation of protein localization","C2_05_24",0,1,3.7e-24,-1,0.4678,11,FALSE
"positive regulation of cell projection organization","C2_05_24",0,1,3.7e-24,-1,0.4863,11,FALSE
"negative regulation of transferase activity","C2_05_24",1,0,3.7e-24,1,0.4589,11,FALSE
"autophagy of mitochondrion","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of amide metabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"chromatin remodeling","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"viral process","C2_05_24",2,1,3.7e-24,0.584962500721156,0.6398,22,FALSE
"macromolecule deacylation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"mitotic cytokinesis","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"aromatic compound catabolic process","C2_05_24",0,1,3.7e-24,-1,0.4812,11,FALSE
"vesicle localization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment or maintenance of cell polarity","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"Wnt signaling pathway","C2_05_24",0,1,3.7e-24,-1,0.4247,11,FALSE
"cell-cell signaling by wnt","C2_05_24",0,1,3.7e-24,-1,0.4242,11,FALSE
"ATP metabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to chemical stress","C2_05_24",2,0,3.7e-24,1.58496250072116,0.154,8,FALSE
"regulation of vacuole organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to external stimulus","C2_05_24",1,0,3.7e-24,1,0.4983,11,FALSE
"negative regulation of protein phosphorylation","C2_05_24",3,1,3.7e-24,1,0.4951,11,FALSE
"negative regulation of catabolic process","C2_05_24",0,1,3.7e-24,-1,0.5311,11,FALSE
"regulation of microtubule cytoskeleton organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"chromosome localization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of mitotic nuclear division","C2_05_24",1,0,3.7e-24,1,0.0857,11,FALSE
"regulation of actin filament organization","C2_05_24",0,1,3.7e-24,-1,0.5289,11,FALSE
"dephosphorylation","C2_05_24",0,1,3.7e-24,-1,0.5198,11,FALSE
"glycosylation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of establishment of protein localization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of microtubule-based process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell-substrate junction organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein-containing complex localization","C2_05_24",1,0,3.7e-24,1,0.2685,11,FALSE
"mitochondrial transmembrane transport","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"stem cell population maintenance","C2_05_24",1,0,3.7e-24,1,0.3601,11,FALSE
"ribosome assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"intraciliary transport","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"Golgi to plasma membrane protein transport","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to amino acid starvation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to extracellular stimulus","C2_05_24",1,0,3.7e-24,1,0.3969,11,FALSE
"cell growth","C2_05_24",3,1,3.7e-24,1,0.4207,11,FALSE
"protein glycosylation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"macromolecule glycosylation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"maintenance of cell number","C2_05_24",1,0,3.7e-24,1,0.3648,11,FALSE
"response to reactive oxygen species","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell morphogenesis","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cellular component size","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"cell-substrate junction assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"membrane fission","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"membrane docking","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"fibroblast migration","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"nucleus organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell growth","C2_05_24",3,1,3.7e-24,1,0.4462,11,FALSE
"fibroblast proliferation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell cycle G1/S phase transition","C2_05_24",1,0,3.7e-24,1,0.4407,11,FALSE
"actin filament organization","C2_05_24",0,1,3.7e-24,-1,0.4401,11,FALSE
"response to oxygen levels","C2_05_24",0,1,3.7e-24,-1,0.4802,11,FALSE
"epigenetic regulation of gene expression","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle fusion","C2_05_24",1,0,3.7e-24,1,0.2103,11,FALSE
"lipoprotein metabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein lipidation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of plasma membrane bounded cell projection assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of actin filament-based process","C2_05_24",0,1,3.7e-24,-1,0.452,11,FALSE
"regulation of GTPase activity","C2_05_24",0,1,3.7e-24,-1,0.5027,11,FALSE
"nuclear envelope organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein autophosphorylation","C2_05_24",1,0,3.7e-24,1,0.4371,11,FALSE
"connective tissue development","C2_05_24",1,1,3.7e-24,0,1,747,FALSE
"cellular response to heat","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"myeloid cell homeostasis","C2_05_24",1,0,3.7e-24,1,0.3168,11,FALSE
"regulation of neuron projection development","C2_05_24",0,1,3.7e-24,-1,0.4384,11,FALSE
"receptor metabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"maintenance of protein location in cell","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"apoptotic mitochondrial changes","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to transforming growth factor beta","C2_05_24",0,1,3.7e-24,-1,0.5214,11,FALSE
"neural tube development","C2_05_24",2,0,3.7e-24,1.58496250072116,0.0731,8,FALSE
"maintenance of protein location","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of ubiquitin-protein transferase activity","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cilium assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"mRNA export from nucleus","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate junction organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"membrane biogenesis","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cilium organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"platelet-derived growth factor receptor signaling pathway","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"iron-sulfur cluster assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"metallo-sulfur cluster assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"centromere complex assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to oxygen levels","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"fatty acid beta-oxidation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"organelle localization by membrane tethering","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"autophagosome maturation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to transforming growth factor beta stimulus","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"nucleotide catabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"tube closure","C2_05_24",2,0,3.7e-24,1.58496250072116,0.0265,8,FALSE
"regulation of stem cell differentiation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"substrate adhesion-dependent cell spreading","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"chondrocyte differentiation","C2_05_24",1,0,3.7e-24,1,0.3256,11,FALSE
"regulation of fibroblast proliferation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"morphogenesis of an epithelial sheet","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"microtubule polymerization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"response to virus","C2_05_24",0,1,3.7e-24,-1,0.5008,11,FALSE
"membrane assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"COPII vesicle coating","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"erythrocyte differentiation","C2_05_24",1,0,3.7e-24,1,0.2458,11,FALSE
"organophosphate catabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of embryonic development","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of focal adhesion assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate junction assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of extracellular matrix organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"GPI anchor biosynthetic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"lamellipodium organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of stem cell population maintenance","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"monosaccharide metabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"U2-type prespliceosome assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"heterochromatin formation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"peroxisome organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial fission","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular pigmentation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of fibroblast migration","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular carbohydrate metabolic process","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of axonogenesis","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"kinetochore organization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"stem cell differentiation","C2_05_24",1,0,3.7e-24,1,0.4656,11,FALSE
"proton transmembrane transport","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cellular response to insulin stimulus","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"establishment of mitotic spindle localization","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"cell redox homeostasis","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"stress granule assembly","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"protein neddylation","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial membrane potential","C2_05_24",0,0,3.7e-24,0,1,747,FALSE
