"region","control","enu","group_diff","group","p_value","significant_p_adjusted","significant_p_adjusted_both_groups","GO.ID","p_value.adjust"
"organelle fission",-0.333333333333333,-0.444444444444444,-0.111111111111111,"downsampled",0.747462234331164,NA,NA,"GO:0048285",0.898070296472518
"organelle fusion",0.574436111271369,0.222222222222222,-0.352213889049147,"downsampled",0.228618369440118,NA,NA,"GO:0048284",0.668597242556415
"organelle inheritance",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0048308",0.668597242556415
"organelle localization by membrane tethering",0.287218055635684,0.111111111111111,-0.176106944524573,"downsampled",0.449025703095065,NA,NA,"GO:0140056",0.751908759411973
"organophosphate catabolic process",0.222222222222222,0.222222222222222,0,"downsampled",1,NA,NA,"GO:0046434",1
"ossification",-0.260516463487494,0.0735308997524426,0.334047363239936,"downsampled",0.518364583980713,NA,NA,"GO:0001503",0.797739851254194
"osteoblast differentiation",0.200817213561956,0.593316666987182,0.392499453425226,"downsampled",0.40780992553466,NA,NA,"GO:0001649",0.751908759411973
"oxidative phosphorylation",0.111111111111111,0.287218055635684,0.176106944524573,"downsampled",0.449025703095065,NA,NA,"GO:0006119",0.751908759411973
"pentose-phosphate shunt",0,0,0,"downsampled",NA,NA,NA,"GO:0006098",NA
"peptidyl-lysine modification",-0.333333333333333,0.129991666826924,0.463325000160257,"downsampled",0.175806345345737,NA,NA,"GO:0018205",0.668597242556415
"peroxisome organization",0,0,0,"downsampled",NA,NA,NA,"GO:0007031",NA
"phospholipid biosynthetic process",0.333333333333333,0,-0.333333333333333,"downsampled",0.195015528100076,NA,NA,"GO:0008654",0.668597242556415
"pigmentation",0.287218055635684,0.444444444444444,0.15722638880876,"downsampled",0.621053550510201,NA,NA,"GO:0043473",0.820096867531917
"placenta development",0.111111111111111,0.953884722302351,0.84277361119124,"downsampled",0.00451221459666716,"**",NA,"GO:0001890",0.609491987439675
"plasma membrane tubulation",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0097320",0.668597242556415
"platelet dense granule organization",0,0,0,"downsampled",NA,NA,NA,"GO:0060155",NA
"platelet-derived growth factor receptor signaling pathway",0,0,0,"downsampled",NA,NA,NA,"GO:0048008",NA
"pore complex assembly",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0046931",0.668597242556415
"positive regulation by host of viral process",0.176106944524573,0,-0.176106944524573,"downsampled",0.346593507087334,NA,NA,"GO:0044794",0.668597242556415
"positive regulation of amide metabolic process",0.222222222222222,0.111111111111111,-0.111111111111111,"downsampled",0.555566605249039,NA,NA,"GO:0034250",0.797739851254194
"positive regulation of cartilage development",0.222222222222222,0.222222222222222,0,"downsampled",1,NA,NA,"GO:0061036",1
