"","condition","cycle","region","log2fc.mean.x","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met","jitter_alpha","log2fc.mean.y","log2fc.norm","log2fc.norm.sd"
"93","control","1","fat cell differentiation",0.333333333333333,0.666666666666667,1.66666666666667,0.555555555555556,0.693888666488711,1.24899959967968,0.333333333333333,0.111111111111111,0.545455304682376,1,NA,"GO:0045444",47,"FALSE",0.6,-0.158614237573618,0.491947570906951,0.320610000578514
"94","control","1","fatty acid beta-oxidation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.996233830734277,1,NA,"GO:0006635",163,"FALSE",0.6,-0.0090782406606123,0.120189351771723,0.320610000578514
"95","control","1","fibroblast migration",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.98320385248954,1,NA,"GO:0010761",163,"FALSE",0.6,0.280924537063747,-0.169813425952635,0.320610000578514
"96","control","1","fibroblast proliferation",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.99086233087542,1,NA,"GO:0048144",81,"FALSE",0.6,-0.252965740687322,0.475187962909544,0.320610000578514
"97","control","1","folic acid metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046655",747,"FALSE",0.6,0,0,0.320610000578514
"98","control","1","G0 to G1 transition",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0045023",747,"FALSE",0.6,0.22851574079416,-0.22851574079416,0.320610000578514
"99","control","1","glial cell apoptotic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0034349",747,"FALSE",0.6,0.0740740740740741,-0.0740740740740741,0.320610000578514
"100","control","1","glycerol ether biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046504",747,"FALSE",0.6,0.0740740740740741,-0.0740740740740741,0.320610000578514
"101","control","1","glycosyl compound biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901659",747,"FALSE",0.6,0.111111111111111,-0.111111111111111,0.320610000578514
"102","control","1","glycosyl compound metabolic process",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.973147499943525,1,NA,"GO:1901657",81,"FALSE",0.6,0.0279587963764249,0.194263425845797,0.320610000578514
