CTL_A ENU_A CTL_B ENU_B CTL_C ENU_C
ENSG00000048162 82 67 91 65 177 211
ENSG00000048342 297 220 312 213 478 524
ENSG00000048392 1665 1375 1897 1444 780 937
ENSG00000048405 247 243 369 212 247 331
ENSG00000048471 1020 778 1335 863 624 838
ENSG00000048544 454 357 511 400 538 648
ENSG00000048649 1314 1018 1460 1088 1089 1473
ENSG00000048707 1242 1137 1636 1258 1154 1575
ENSG00000048740 253 223 169 137 191 267
ENSG00000048828 3956 2985 4676 3541 2942 3950
ENSG00000048991 525 387 630 363 460 636
ENSG00000049089 92 59 111 51 30 17
ENSG00000049130 348 283 251 225 409 586
ENSG00000049167 92 95 130 90 95 149
ENSG00000049192 1142 908 1365 807 1068 1332
ENSG00000049239 5042 4456 6724 4835 2830 3825
ENSG00000049245 2099 1840 2563 1995 1639 1972
ENSG00000049246 355 303 479 397 187 275
ENSG00000049323 26473 23563 27312 21418 20111 28112
ENSG00000049449 11384 9645 13429 11786 9209 13284
ENSG00000049540 153 75 93 31 395 334
ENSG00000049541 161 130 142 143 181 287
ENSG00000049618 1272 1044 1490 1135 1049 1233
ENSG00000049656 1619 1440 1961 1429 1263 1732
ENSG00000049759 168 169 226 161 259 237
ENSG00000049769 154 141 181 112 67 92
ENSG00000049860 2547 2302 3173 3008 2125 3085
ENSG00000049883 100 87 87 88 98 162
ENSG00000050130 900 750 1074 924 775 1138
ENSG00000050165 16983 12929 20850 15483 10626 15787
ENSG00000050344 1811 1448 2465 1682 686 1013
ENSG00000050393 381 310 406 228 290 378
ENSG00000050405 4948 4326 6575 5661 4205 5861
ENSG00000050426 716 567 811 791 378 595
ENSG00000050438 15 28 26 25 55 57
ENSG00000050748 892 629 1189 815 619 846
ENSG00000050820 3202 2664 3703 2509 2099 2733
ENSG00000051009 347 244 381 319 344 404
ENSG00000051108 1489 1205 1560 1200 1530 2150
ENSG00000051128 740 699 979 637 741 865
ENSG00000051180 63 59 86 51 86 134
ENSG00000051341 41 49 49 20 43 116
ENSG00000051382 840 612 1174 876 387 673
ENSG00000051523 1006 1000 1374 959 1150 1392
ENSG00000051596 309 212 341 263 185 259
ENSG00000051620 860 643 1076 837 650 783
ENSG00000051825 175 102 194 142 183 258
ENSG00000052126 876 676 1247 931 697 992
ENSG00000052723 561 492 650 426 505 647
ENSG00000052749 524 502 584 504 337 482
ENSG00000052795 426 358 581 434 275 479
ENSG00000052802 1236 906 2130 1262 1159 1504
ENSG00000052841 2355 1672 2498 1872 1593 2319
ENSG00000053254 2747 2176 3313 2253 2161 2513
ENSG00000053371 784 603 890 769 505 546
ENSG00000053372 260 199 280 150 390 478
ENSG00000053438 202 167 228 96 16 33
ENSG00000053501 177 143 227 153 156 197
ENSG00000053702 8 8 10 11 13 15
ENSG00000053747 102 69 169 83 380 439
ENSG00000053770 360 248 396 278 348 401
ENSG00000053900 276 191 293 207 317 506
ENSG00000054116 779 630 956 639 772 881
ENSG00000054118 2393 1903 2938 2000 2627 3518
ENSG00000054148 1432 1106 1727 1171 1113 1118
ENSG00000054267 1034 760 1221 912 854 1149
ENSG00000054277 2318 2046 2705 2143 1026 1401
ENSG00000054282 268 193 259 188 300 412
ENSG00000054356 236 179 121 104 562 469
ENSG00000054392 26 30 24 2 28 32
ENSG00000054523 1454 1146 1633 1242 1283 1702
ENSG00000054598 244 205 247 216 534 536
ENSG00000054611 649 573 899 614 580 685
ENSG00000054654 98 129 143 115 171 304
ENSG00000054793 1092 1006 1727 1516 892 1489
ENSG00000054938 551 604 221 160 466 418
ENSG00000054965 1403 1281 1644 1259 1094 1457
ENSG00000054967 79 66 63 40 82 104
ENSG00000054983 910 845 1040 723 591 962
ENSG00000055044 517 405 498 281 738 962
ENSG00000055070 3690 2781 4602 2849 2871 3658
ENSG00000055118 91 42 25 11 155 163
ENSG00000055130 1530 1144 1998 1413 1603 2022
ENSG00000055147 380 280 442 288 421 570
ENSG00000055163 105 68 131 72 73 71
ENSG00000055208 1810 1412 2319 1886 1247 1738
ENSG00000055211 1057 946 1188 1128 777 1085
ENSG00000055332 1393 1138 1712 1245 1107 1492
ENSG00000055483 717 580 738 621 676 848
ENSG00000055609 1315 1094 1504 1177 843 1210
ENSG00000055917 1864 1450 2239 1624 1326 1835
ENSG00000055950 902 710 1056 836 699 756
ENSG00000056050 150 139 219 130 253 288
ENSG00000056097 1836 1515 1982 1446 1769 2351
ENSG00000056277 57 48 118 69 81 93
ENSG00000056558 101 89 195 82 87 99
ENSG00000056586 1404 1037 1585 1028 1074 1486
ENSG00000056661 745 572 901 646 492 612
ENSG00000056736 4 12 5 3 8 14
ENSG00000056972 233 225 285 265 188 197
ENSG00000056998 419 363 657 414 507 633
ENSG00000057019 3323 2910 3237 2315 2587 3446
ENSG00000057252 733 572 941 683 683 1056
ENSG00000057593 18 22 40 25 7 6
ENSG00000057608 4071 3341 4852 3986 3695 5195
ENSG00000057657 245 219 299 201 128 218
ENSG00000057663 607 416 763 505 402 516
ENSG00000057757 307 241 382 276 305 332
ENSG00000057935 741 533 761 587 651 753
ENSG00000058056 431 330 553 305 314 461
